country,meal_name,core_ingredients,recipes,cook_time,substitutes,meal_type,notes,cuisine_region,spices_seasoning,cook_time_minutes
Kenya,Irio,"Potatoes, peas, maize, leafy greens","Boil potatoes, peas and maize → Add chopped greens → Mash to coarse texture → Serve warm",30,Add pumpkin leaves; replace peas with beans,Main / Side,Everyday and ceremonial food,east_africa,"salt, pepper",30.0
Kenya,Mukimo,"Potatoes, maize, beans",Boil together → Mash until smooth but textured,35,Add greens or peas,Main,Ceremonial dish,east_africa,"salt, pepper",35.0
Kenya,Njahi,"Black beans, water, salt",Slow-boil njahi until soft → Serve plain or lightly seasoned,90,Stew with onions,Main,Highly valued protein,east_africa,"salt, pepper",90.0
Kenya,Njahi ya Githeri,"Black beans, maize",Boil together slowly → Serve thick and hearty,100,Fry after boiling,Main,Traditional mixed meal,east_africa,"salt, pepper",100.0
Kenya,Gikuyu Thabai,"Sweet potatoes, arrowroots",Boil roots together → Serve,30,Add cassava,Main,Traditional root meal,east_africa,"salt, pepper",30.0
Kenya,Mirore,Pumpkin leaves,Boil → Light fry,20,Cowpea leaves,Side,Indigenous vegetable,east_africa,"salt, pepper",20.0
Kenya,Thaka,Spider plant,Boil to reduce bitterness → Fry lightly,20,Add groundnuts,Side,Medicinal green,east_africa,"salt, pepper",20.0
Kenya,Kienyeji Chicken Stew,"Indigenous chicken, onion",Slow-cook chicken until tender,120,Goat meat,Main,Ceremonial food,east_africa,"salt, pepper",120.0
Kenya,Muthokoi,"Dehulled maize, beans",Slow-boil maize and beans until soft,90,Replace beans with green grams,Main,Signature Embu dish,east_africa,"salt, pepper",90.0
Kenya,Nthaka,Spider plant,Boil → Fry lightly,20,Add groundnuts,Side,Indigenous vegetable,east_africa,"salt, pepper",20.0
Kenya,Kithenji,Green grams,Boil until soft → Serve,50,Mash or stew,Main,Daily protein food,east_africa,"salt, pepper",50.0
Kenya,Kienyeji Chicken,Indigenous chicken,Boil then lightly fry,120,Goat meat,Main,Ceremonial,east_africa,"salt, pepper",120.0
Kenya,Thabai cia Githigo,Arrowroots,Boil until tender → Serve,30,Sweet potatoes,Main,Seasonal staple,east_africa,"salt, pepper",30.0
Kenya,Mukimo wa Mboga,"Potatoes, greens",Boil and mash with vegetables,30,Add maize,Main,Household meal,east_africa,"salt, pepper",30.0
Kenya,Githeri wa Nthaka,"Maize, beans, spider plant",Boil maize and beans → Add greens,70,Add pumpkin leaves,Main,Nutritious mixed dish,east_africa,"salt, pepper",70.0
Kenya,Mucere,Sorghum flour,Cook stiff porridge,15,Millet flour,Main,Traditional staple,east_africa,"salt, pepper",15.0
Kenya,Kithenji,Green grams,Boil → Lightly fry,45,Lentils,Main,Core Meru dish,east_africa,"salt, pepper",45.0
Kenya,Mukimo,"Potatoes, maize, beans",Boil → Mash,35,Add greens,Main,Ceremonial,east_africa,"salt, pepper",35.0
Kenya,Marigu,Pumpkin leaves,Boil → Fry,15,Cowpea leaves,Side,Seasonal vegetable,east_africa,"salt, pepper",15.0
Kenya,Thabai,Arrowroots,Boil → Serve,30,Sweet potatoes,Main,Traditional root,east_africa,"salt, pepper",30.0
Kenya,Nderema,Arrowroot leaves,Boil → Fry,20,Spinach,Side,Indigenous green,east_africa,"salt, pepper",20.0
Kenya,Githeri ya Mbaazi,"Maize, pigeon peas",Boil slowly → Serve,80,Beans,Main,Traditional variation,east_africa,"salt, pepper",80.0
Kenya,Kienyeji Chicken,Indigenous chicken,Slow stew until tender,120,Goat meat,Main,Special occasions,east_africa,"salt, pepper",120.0
Kenya,Mucere wa Mboga,"Sorghum flour, vegetables",Cook porridge → Add vegetables,20,Millet flour,Main,Household meal,east_africa,"salt, pepper",20.0
